Address;RegName;Clk;Rst;Port;NonReg;Public;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Enum_Name;Enum_Value;Min_Value;Max_Value;RegName_Chg_0;RepeatName;RepeatNum;GroupName;CSV_Version
0x000c;I2C_TO_REG;pclk;reset_n;;;;;;;;;;;设置接收数据超时控制;;;;;;;;配置寄存器;
;;;;;;;;[31:25];7'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_time_out_en;[24];1'h0;读/写;;;;超时控制使能位。;;;;;I2C_TIME_OUT_EN;;;;
;;;;;;;reg_time_out_value;[23:0];24'h0;读/写;;;;"用于配置接收一位数据的超时时间，以 APB

时钟周期为单位。 ";;;;;I2C_TIME_OUT_VALUE;;;
0x0010;I2C_SLAVE_ADDR_REG;pclk;reset_n;;;;;;;;;;;本地从机地址设置;;;;;;;;配置寄存器;
;;;;;;;reg_addr_10bit_en;[31];1'h0;读/写;;;;用于在主机模式下使能从机的 10 位寻址模式。;;;;;I2C_ADDR_10BIT_EN;;;;
;;;;;;;;[30:15];16'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_slave_addr;[14:0];15'h0;读/写;;;;配置为 Slave 时，该字段用于配置从机地址。;;;;;I2C_SLAVE_ADDR;;;;
0x0014;I2C_FIFO_ST_REG;pclk;reset_n;;;;;;;;;;;FIFO 状态寄存器;;;;;;;;状态寄存器;
;;;;;;;;[31:30];2'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_slave_rw_point;[29:22];8'h0;只读;;;;从机模式下接收的数据。;;;;;I2C_SLAVE_RW_POINT;;;;
;;;;;;;reg_tx_update;[21];1'h0;只写;;;;在 I2C_TX_UPDATE 上写 0 或 1，更新 I2C_TXFIFO_END_ADDR 和 I2C_TXFIFO_START_ADDR 的值。;;;;;I2C_TX_UPDATE;;;;
;;;;;;;reg_rx_update;[20];1'h0;只写;;;;在 I2C_RX_UPDATE 上写 0 或 1，更新 I2C_RXFIFO_END_ADDR 和 I2C_RXFIFO_START_ADDR 的值。;;;;;I2C_RX_UPDATE;;;;
;;;;;;;reg_txfifo_end_addr;[19:15];5'h0;只读;;;;"最后发送数据的偏移地址，如寄存器 I2C_NONFIFO_TX_THRES 所述。

该值在 I2C_TX_SEND_EMPTY_INT 中断或 I2C_TRANS_COMPLETE_INT 中断产生时更新。";;;;;I2C_TXFIFO_END_ADDR;;;
;;;;;;;reg_txfifo_start_addr;[14:10];5'h0;只读;;;;最先发送数据的偏移地址，如寄存器 I2C_NONFIFO_TX_THRES 所述。;;;;;I2C_TXFIFO_START_ADDR;;;;
;;;;;;;reg_rxfifo_end_addr;[9:5];5'h0;只读;;;;最后接收数据的偏移地址，如寄存器 I2C_NONFIFO_RX_THRES 所述。 该值在 I2C_RX_REC_FULL_INT 中断或 I2C_TRANS_COMPLETE_INT 中断产生时更新。;;;;;I2C_RXFIFO_END_ADDR;;;;
;;;;;;;reg_rxfifo_start_addr;[4:0];5'h0;只读;;;;最后接收数据的偏移地址，如寄存器 I2C_NONFIFO_RX_THRES 所述。;;;;;I2C_RXFIFO_START_ADDR;;;;
0x0018;I2C_FIFO_CONF_REG;pclk;reset_n;;;;;;;;;;;FIFO 配置寄存器;;;;;;;;配置寄存器;
;;;;;;;;[31:27];5'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_reg_fifo_prt_en;[26];1'h1;读/写;;;;non-FIFO 访问模式下 FIFO 指针的控制使能位。 该位控制 TX FIFO 和 RX FIFO 溢出、下溢、为满、为空时的有效位和中断。;;;;;I2C_FIFO_PRT_EN;;;;
;;;;;;;reg_nonfifo_tx_thres;[25:20];6'h15;读/写;;;;"I2C 发送的数据超过 I2C_NONFIFO_TX_THRES 个字节时，

生成 I2C_TXFIFO_OVF_INT 中断，更新发送数据的当前偏移地址。 ";;;;;I2C_NONFIFO_TX_THRES;;;
;;;;;;;reg_nonfifo_rx_thres;[19:14];6'h15;读/写;;;;I2C 接收的数据超过 I2C_NONFIFO_TX_THRES 字节时，生成 I2C_RXFIFO_UDF_INT 中断，更新接收数据的当前偏移地址。;;;;;I2C_NONFIFO_RX_THRES;;;;
;;;;;;;reg_tx_fifo_rst;[13];1'h0;读/写;;;;置位此位，复位 TX FIFO 。;;;;;I2C_TX_FIFO_RST;;;;
;;;;;;;reg_rx_fifo_rst;[12];1'h0;读/写;;;;置位此位，复位 RX FIFO 。;;;;;I2C_RX_FIFO_RST;;;;
;;;;;;;reg_fifo_addr_cfg_en;[11];1'h0;读/写;;;;此位置 1 时，从机接收地址字节的后一个字节为从机 RAM 中的偏移地址。;;;;;I2C_FIFO_ADDR_CFG_EN;;;;
;;;;;;;reg_nonfifo_en;[10];1'h0;读/写;;;;置位此位，使能 APB non-FIFO 访问。;;;;;I2C_NONFIFO_EN;;;;
;;;;;;;reg_txfifo_wm_thrhd;[9:5];5'h4;读/写;;;;non-FIFO 访问模式下，TX FIFO 的水标阈值。I2C_FIFO_PRT_EN 为 1 且 TX FIFO 计数值小于 I2C_TXFIFO_WM_THRHD[4:0] 时，I2C_TXFIFO_WM_INT_RAW 位有效。;;;;;I2C_TXFIFO_WM_THRHD;;;;
;;;;;;;reg_rxfifo_wm_thrhd;[4:0];5'hb;读/写;;;;non-FIFO 访问模式下，RX FIFO 的水标阈值。I2C_FIFO_PRT_EN 为 1 且 RX FIFO 计数值大于 I2C_TXFIFO_WM_THRHD[4:0] 时，I2C_TXFIFO_WM_INT_RAW 位有效。;;;;;I2C_RXFIFO_WM_THRHD;;;;
0x001c;I2C_DATA_REG;pclk;reset_n;;;;;;;;;;;RX FIFO 读取数据;;;;;;;;状态寄存器;
;;;;;;;;[31:8];24'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_fifo_rdata;[7:0];8'h0;只读;;;;RX FIFO 读取数据的值。;;;;;I2C_FIFO_RDATA;;;;
0x0020;I2C_INT_RAW_REG;pclk;reset_n;;;;;;;;;;;原始中断状态;;;;;;;;中断寄存器;
;;;;;;;;[31:17];15'h0;只读;;;INT_RAW;保留;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_raw;[16];1'h0;只读;slave_stretch/1'h1;slave_stretch_int_clr/1'h0;;I2C_SLAVE_STRETCH_INT 的原始中断位。;;;;;I2C_SLAVE_STRETCH_INT_RAW;;;;
;;;;Not;;;reg_det_start_int_raw;[15];1'h0;只读;det_start_pls/1'h1;det_start_int_clr/1'h0;;I2C_DET_START_INT 的原始中断位。;;;;;I2C_DET_START_INT_RAW;;;;
;;;;Not;;;reg_scl_main_st_to_int_raw;[14];1'h0;只读;scl_main_st_to/1'h1;scl_main_st_to_int_clr/1'h0;;I2C_SCL_MAIN_ST_TO_INT 的原始中断位。;;;;;I2C_SCL_MAIN_ST_TO_INT_RAW;;;;
;;;;Not;;;reg_scl_st_to_int_raw;[13];1'h0;只读;scl_st_to/1'h1;scl_st_to_int_clr/1'h0;;I2C_SCL_ST_TO_INT 的原始中断位。;;;;;I2C_SCL_ST_TO_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_udf_int_raw;[12];1'h0;只读;rxfifo_udf/1'h1;rxfifo_udf_int_clr/1'h0;;I2C_RXFIFO_UDF_INT 的原始中断位。;;;;;I2C_RXFIFO_UDF_INT_RAW;;;;
;;;;Not;;;reg_txfifo_ovf_int_raw;[11];1'h0;只读;txfifo_ovf/1'h1;txfifo_ovf_int_clr/1'h0;;I2C_TXFIFO_OVF_INT 的原始中断位。;;;;;I2C_TXFIFO_OVF_INT_RAW;;;;
;;;;Not;;;reg_nack_int_raw;[10];1'h0;只读;nack_in_bus/1'h1;nack_int_clr/1'h0;;I2C_SLAVE_STRETCH_INT 的原始中断位。;;;;;I2C_NACK_INT_RAW;;;;
;;;;Not;;;reg_trans_start_int_raw;[9];1'h0;只读;trans_start_pos/1'h1;trans_start_int_clr/1'h0;;I2C_TRANS_START_INT 的原始中断位。;;;;;I2C_TRANS_START_INT_RAW;;;;
;;;;Not;;;reg_time_out_int_raw;[8];1'h0;只读;time_out/1'h1;time_out_int_clr/1'h0;;I2C_TIME_OUT_INT 的原始中断位。;;;;;I2C_TIME_OUT_INT_RAW;;;;
;;;;Not;;;reg_trans_complete_int_raw;[7];1'h0;只读;trans_complete/1'h1;trans_complete_int_clr/1'h0;;I2C_TRANS_COMPLETE_INT 的原始中断位。;;;;;I2C_TRANS_COMPLETE_INT_RAW;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_raw;[6];1'h0;只读;mst_txfifo_udf/1'h1;mst_txfifo_udf_int_clr/1'h0;;I2C_TRANS_COMPLETE_INT 的原始中断位。;;;;;I2C_MST_TXFIFO_UDF_INT_RAW;;;;
;;;;Not;;;reg_arbitration_lost_int_raw;[5];1'h0;只读;arbitration_lost_pos/1'h1;arbitration_lost_int_clr/1'h0;;I2C_ARBITRATION_LOST_INT 的原始中断位。;;;;;I2C_ARBITRATION_LOST_INT_RAW;;;;
;;;;Not;;;reg_byte_trans_done_int_raw;[4];1'h0;只读;byte_trans_done/1'h1;byte_trans_done_int_clr/1'h0;;I2C_END_DETECT_INT 的原始中断位。;;;;;I2C_BYTE_TRANS_DONE_INT_RAW;;;;
;;;;Not;;;reg_end_detect_int_raw;[3];1'h0;只读;end_detect/1'h1;end_detect_int_clr/1'h0;;I2C_END_DETECT_INT 的原始中断位。;;;;;I2C_END_DETECT_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_ovf_int_raw;[2];1'h0;只读;rxfifo_ovf/1'h1;rxfifo_ovf_int_clr/1'h0;;I2C_RXFIFO_OVF_INT 的原始中断位。;;;;;I2C_RXFIFO_OVF_INT_RAW;;;;
;;;;Not;;;reg_txfifo_wm_int_raw;[1];1'h0;只读;txfifo_wm_int/1'h1;txfifo_wm_int_clr/1'h0;;I2C_TXFIFO_WM_INT 的原始中断位。;;;;;I2C_TXFIFO_WM_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_wm_int_raw;[0];1'h0;只读;rxfifo_wm_int/1'h1;rxfifo_wm_int_clr/1'h0;;I2C_RXFIFO_WM_INT 的原始中断位。;;;;;I2C_RXFIFO_WM_INT_RAW;;;;
0x0024;I2C_INT_CLR_REG;pclk;reset_n;;;;;;;;;;INT_CLR;中断清除位;;;;;;;;中断寄存器;
;;;;;;;;[31:17];15'h0;只读;;;;保留;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_clr;[16];1'h0;只写;;;;置位此位，清除 I2C_SLAVE_STRETCH_INT 中断。;;;;;I2C_SLAVE_STRETCH_INT_CLR;;;;
;;;;Not;;;reg_det_start_int_clr;[15];1'h0;只写;;;;置位此位，清除 I2C_DET_START_INT 中断。;;;;;I2C_DET_START_INT_CLR;;;;
;;;;Not;;;reg_scl_main_st_to_int_clr;[14];1'h0;只写;;;;置位此位，清除 I2C_SCL_MAIN_ST_TO_INT 中断。;;;;;I2C_SCL_MAIN_ST_TO_INT_CLR;;;;
;;;;Not;;;reg_scl_st_to_int_clr;[13];1'h0;只写;;;;置位此位，清除 I2C_SCL_ST_TO_INT 中断。;;;;;I2C_SCL_ST_TO_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_udf_int_clr;[12];1'h0;只写;;;;置位此位，清除 I2C_RXFIFO_UDF_INT 中断。;;;;;I2C_RXFIFO_UDF_INT_CLR;;;;
;;;;Not;;;reg_txfifo_ovf_int_clr;[11];1'h0;只写;;;;置位此位，清除 I2C_TXFIFO_OVF_INT 中断。;;;;;I2C_TXFIFO_OVF_INT_CLR;;;;
;;;;Not;;;reg_nack_int_clr;[10];1'h0;只写;;;;置位此位，清除 I2C_SLAVE_STRETCH_INT 中断。;;;;;I2C_NACK_INT_CLR;;;;
;;;;Not;;;reg_trans_start_int_clr;[9];1'h0;只写;;;;置位此位，清除 I2C_TRANS_START_INT 中断。;;;;;I2C_TRANS_START_INT_CLR;;;;
;;;;Not;;;reg_time_out_int_clr;[8];1'h0;只写;;;;置位此位，清除 I2C_TIME_OUT_INT 中断。;;;;;I2C_TIME_OUT_INT_CLR;;;;
;;;;Not;;;reg_trans_complete_int_clr;[7];1'h0;只写;;;;置位此位，清除 I2C_TRANS_COMPLETE_INT 中断。;;;;;I2C_TRANS_COMPLETE_INT_CLR;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_clr;[6];1'h0;只写;;;;置位此位，清除 I2C_TRANS_COMPLETE_INT 中断。;;;;;I2C_MST_TXFIFO_UDF_INT_CLR;;;;
;;;;Not;;;reg_arbitration_lost_int_clr;[5];1'h0;只写;;;;置位此位，清除 I2C_ARBITRATION_LOST_INT 中断。;;;;;I2C_ARBITRATION_LOST_INT_CLR;;;;
;;;;Not;;;reg_byte_trans_done_int_clr;[4];1'h0;只写;;;;置位此位，清除 I2C_END_DETECT_INT 中断。;;;;;I2C_BYTE_TRANS_DONE_INT_CLR;;;;
;;;;Not;;;reg_end_detect_int_clr;[3];1'h0;只写;;;;置位此位，清除 I2C_END_DETECT_INT 中断。;;;;;I2C_END_DETECT_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_ovf_int_clr;[2];1'h0;只写;;;;置位此位，清除 I2C_RXFIFO_OVF_INT 中断。;;;;;I2C_RXFIFO_OVF_INT_CLR;;;;
;;;;Not;;;reg_txfifo_wm_int_clr;[1];1'h0;只写;;;;置位此位，清除 I2C_TXFIFO_WM_INT 中断。;;;;;I2C_TXFIFO_WM_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_wm_int_clr;[0];1'h0;只写;;;;置位此位，清除 I2C_RXFIFO_WM_INT 中断。;;;;;I2C_RXFIFO_WM_INT_CLR;;;;
0x0028;I2C_INT_ENA_REG;pclk;reset_n;;;;;;;;;;INT_ENA;中断使能位;;;;;;;;中断寄存器;
;;;;;;;;[31:17];15'h0;只读;;;;保留;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_ena;[16];1'h0;读/写;;;;I2C_SLAVE_STRETCH_INT 的原始中断位。;;;;;I2C_SLAVE_STRETCH_INT_ENA;;;;
;;;;Not;;;reg_det_start_int_ena;[15];1'h0;读/写;;;;I2C_DET_START_INT 的原始中断位。;;;;;I2C_DET_START_INT_ENA;;;;
;;;;Not;;;reg_scl_main_st_to_int_ena;[14];1'h0;读/写;;;;I2C_SCL_MAIN_ST_TO_INT 的原始中断位。;;;;;I2C_SCL_MAIN_ST_TO_INT_ENA;;;;
;;;;Not;;;reg_scl_st_to_int_ena;[13];1'h0;读/写;;;;I2C_SCL_ST_TO_INT 的原始中断位。;;;;;I2C_SCL_ST_TO_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_udf_int_ena;[12];1'h0;读/写;;;;I2C_RXFIFO_UDF_INT 的原始中断位。;;;;;I2C_RXFIFO_UDF_INT_ENA;;;;
;;;;Not;;;reg_txfifo_ovf_int_ena;[11];1'h0;读/写;;;;I2C_TXFIFO_OVF_INT 的原始中断位。;;;;;I2C_TXFIFO_OVF_INT_ENA;;;;
;;;;Not;;;reg_nack_int_ena;[10];1'h0;读/写;;;;I2C_SLAVE_STRETCH_INT 的原始中断位。;;;;;I2C_NACK_INT_ENA;;;;
;;;;Not;;;reg_trans_start_int_ena;[9];1'h0;读/写;;;;I2C_TRANS_START_INT 的原始中断位。;;;;;I2C_TRANS_START_INT_ENA;;;;
;;;;Not;;;reg_time_out_int_ena;[8];1'h0;读/写;;;;I2C_TIME_OUT_INT 的原始中断位。;;;;;I2C_TIME_OUT_INT_ENA;;;;
;;;;Not;;;reg_trans_complete_int_ena;[7];1'h0;读/写;;;;I2C_TRANS_COMPLETE_INT 的原始中断位。;;;;;I2C_TRANS_COMPLETE_INT_ENA;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_ena;[6];1'h0;读/写;;;;I2C_TRANS_COMPLETE_INT 的原始中断位。;;;;;I2C_MST_TXFIFO_UDF_INT_ENA;;;;
;;;;Not;;;reg_arbitration_lost_int_ena;[5];1'h0;读/写;;;;I2C_ARBITRATION_LOST_INT 的原始中断位。;;;;;I2C_ARBITRATION_LOST_INT_ENA;;;;
;;;;Not;;;reg_byte_trans_done_int_ena;[4];1'h0;读/写;;;;I2C_END_DETECT_INT 的原始中断位。;;;;;I2C_BYTE_TRANS_DONE_INT_ENA;;;;
;;;;Not;;;reg_end_detect_int_ena;[3];1'h0;读/写;;;;I2C_END_DETECT_INT 的原始中断位。;;;;;I2C_END_DETECT_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_ovf_int_ena;[2];1'h0;读/写;;;;I2C_RXFIFO_OVF_INT 的原始中断位。;;;;;I2C_RXFIFO_OVF_INT_ENA;;;;
;;;;Not;;;reg_txfifo_wm_int_ena;[1];1'h0;读/写;;;;I2C_TXFIFO_WM_INT 的原始中断位。;;;;;I2C_TXFIFO_WM_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_wm_int_ena;[0];1'h0;读/写;;;;I2C_RXFIFO_WM_INT 的原始中断位。;;;;;I2C_RXFIFO_WM_INT_ENA;;;;
0x002c;I2C_INT_STATUS_REG;pclk;reset_n;;;;;;;;;;;捕捉 I2C 通信事件的状态;;;;;;;;中断寄存器;
;;;;;;;;[31:17];15'h0;只读;;;INT_ST;保留;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_st;[16];1'h0;只读;;;;I2C_SLAVE_STRETCH_INT 的屏蔽中断状态位。;;;;;I2C_SLAVE_STRETCH_INT_ST;;;;
;;;;Not;;;reg_det_start_int_st;[15];1'h0;只读;;;;I2C_DET_START_INT 的屏蔽中断状态位。;;;;;I2C_DET_START_INT_ST;;;;
;;;;Not;;;reg_scl_main_st_to_int_st;[14];1'h0;只读;;;;I2C_SCL_MAIN_ST_TO_INT 的屏蔽中断状态位。;;;;;I2C_SCL_MAIN_ST_TO_INT_ST;;;;
;;;;Not;;;reg_scl_st_to_int_st;[13];1'h0;只读;;;;I2C_SCL_ST_TO_INT 的屏蔽中断状态位。;;;;;I2C_SCL_ST_TO_INT_ST;;;;
;;;;Not;;;reg_rxfifo_udf_int_st;[12];1'h0;只读;;;;I2C_RXFIFO_UDF_INT 的屏蔽中断状态位。;;;;;I2C_RXFIFO_UDF_INT_ST;;;;
;;;;Not;;;reg_txfifo_ovf_int_st;[11];1'h0;只读;;;;I2C_TXFIFO_OVF_INT 的屏蔽中断状态位。;;;;;I2C_TXFIFO_OVF_INT_ST;;;;
;;;;Not;;;reg_nack_int_st;[10];1'h0;只读;;;;I2C_SLAVE_STRETCH_INT 的屏蔽中断状态位。;;;;;I2C_NACK_INT_ST;;;;
;;;;Not;;;reg_trans_start_int_st;[9];1'h0;只读;;;;I2C_TRANS_START_INT 的屏蔽中断状态位。;;;;;I2C_TRANS_START_INT_ST;;;;
;;;;Not;;;reg_time_out_int_st;[8];1'h0;只读;;;;I2C_TIME_OUT_INT 的屏蔽中断状态位。;;;;;I2C_TIME_OUT_INT_ST;;;;
;;;;Not;;;reg_trans_complete_int_st;[7];1'h0;只读;;;;I2C_TRANS_COMPLETE_INT 的屏蔽中断状态位。;;;;;I2C_TRANS_COMPLETE_INT_ST;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_st;[6];1'h0;只读;;;;I2C_TRANS_COMPLETE_INT 的屏蔽中断状态位。;;;;;I2C_MST_TXFIFO_UDF_INT_ST;;;;
;;;;Not;;;reg_arbitration_lost_int_st;[5];1'h0;只读;;;;I2C_ARBITRATION_LOST_INT 的屏蔽中断状态位。;;;;;I2C_ARBITRATION_LOST_INT_ST;;;;
;;;;Not;;;reg_byte_trans_done_int_st;[4];1'h0;只读;;;;I2C_END_DETECT_INT 的屏蔽中断状态位。;;;;;I2C_BYTE_TRANS_DONE_INT_ST;;;;
;;;;Not;;;reg_end_detect_int_st;[3];1'h0;只读;;;;I2C_END_DETECT_INT 的屏蔽中断状态位。;;;;;I2C_END_DETECT_INT_ST;;;;
;;;;Not;;;reg_rxfifo_ovf_int_st;[2];1'h0;只读;;;;I2C_RXFIFO_OVF_INT 的屏蔽中断状态位。;;;;;I2C_RXFIFO_OVF_INT_ST;;;;
;;;;Not;;;reg_txfifo_wm_int_st;[1];1'h0;只读;;;;I2C_TXFIFO_WM_INT 的屏蔽中断状态位。;;;;;I2C_TXFIFO_WM_INT_ST;;;;
;;;;Not;;;reg_rxfifo_wm_int_st;[0];1'h0;只读;;;;I2C_RXFIFO_WM_INT 的屏蔽中断状态位。;;;;;I2C_RXFIFO_WM_INT_ST;;;;
0x0030;I2C_SDA_HOLD_REG;pclk;reset_n;;;;;;;;;;;配置 SCL 下降沿后的保持时间;;;;;;;;时序寄存器;
;;;;;;;;[31:10];22'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_sda_hold_time;[9:0];10'h0;读/写;;;;用于配置 SCL 下降沿后的数据保持时间，以 I2C 模块时钟周期数为单位。;;;;;I2C_SDA_HOLD_TIME;;;;
0x0034;I2C_SDA_SAMPLE_REG;pclk;reset_n;;;;;;;;;;;配置 SCL 上升沿后的采样时间;;;;;;;;时序寄存器;
;;;;;;;;[31:10];22'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_sda_sample_time;[9:0];10'h0;读/写;;;;用于配置采样 SDA 的时间，以 I2C 模块时钟周期数为单位。;;;;;I2C_SDA_SAMPLE_TIME;;;;
0x0038;I2C_SCL_HIGH_PERIOD_REG;pclk;reset_n;;;;;;;;;;;配置 SCL 时钟的高电平宽度;;;;;;;;时序寄存器;
;;;;;;;;[31:28];4'h0;只读;;;;保留;;;;;;;;;
;;;;;;;reg_scl_wait_high_period;[27:14];14'h0;读/写;;;;用于配置 SCL_FSM 等待 SCL 在主机模式下翻转至高电平的时间，以 I2C 模块时钟周期数为单位。;;;;;I2C_SCL_WAIT_HIGH_PERIOD;;;;
;;;;;;;reg_scl_high_period;[13:0];14'h0;读/写;;;;用于配置 SCL 在主机模式下保持高电平的时间，以 I2C 模块时钟周期数为单位。;;;;;I2C_SCL_HIGH_PERIOD;;;;
0x0040;I2C_SCL_START_HOLD_REG;pclk;reset_n;;;;;;;;;;;配置 START 命令产生时 SDA 下降沿和 SCL 下降沿之间的间隔时间;;;;;;;;时序寄存器;
