Address;RegName;Clk;Rst;Port ;NonReg; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Enum_Name;Enum_Value;Min_Value;Max_Value;RegName_Chg_0;RepeatName;RepeatNum;GroupName;CSV_Version
;;;;;;;;[31:6];26'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_time_out_en;[5];1'b0;R/W;;;;This is the enable bit for timeout control.;;;;;I2C_TIME_OUT_EN;;;;
;;;;;;;reg_time_out_value;[4:0];5'h10;R/W;;;;"This register is used to configure the timeout for receiving a data bit in APB
clock cycles. ";;;;;I2C_TIME_OUT_VALUE;;;;
0x0010;I2C_SLAVE_ADDR_REG;pclk;reset_n;;;;;;;;;;;Local slave address setting;;;;;;;;Configuration registers;
;;;;;;;reg_addr_10bit_en;[31];1'b0;R/W;;;;This field is used to enable the slave 10-bit addressing mode in master mode. ;;;;;I2C_ADDR_10BIT_EN;;;;
;;;;;;;;[30:15];16'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slave_addr;[14:0];15'b0;R/W;;;;When configured as an I2C Slave, this field is used to configure the slave address.;;;;;I2C_SLAVE_ADDR;;;;
0x0014;I2C_FIFO_ST_REG;pclk;reset_n;;;;;;;;;;;FIFO status register.;;;;;;;;Status registers;
;;;;;;;;[31:30];2'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_slave_rw_point;[29:22];8'b0;RO;;;;The received data in I2C slave mode.;;;;;I2C_SLAVE_RW_POINT;;;;
;;;;;;;;[21];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;;[20];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_txfifo_waddr;[19:15];5'b0;RO;;;;This is the offset address of APB bus writing to TX FIFO.;;;;;I2C_TXFIFO_WADDR;;;;
;;;;;;;reg_txfifo_raddr;[14:10];5'b0;RO;;;;This is the offset address of I2C module reading from TX FIFO.;;;;;I2C_TXFIFO_RADDR;;;;
;;;;;;;reg_rxfifo_waddr;[9:5];5'b0;RO;;;;This is the offset address of I2C module receiving data and writing to RX FIFO.;;;;;I2C_RXFIFO_WADDR;;;;
;;;;;;;reg_rxfifo_raddr;[4:0];5'b0;RO;;;;This is the offset address of the APB reading from RX FIFO.;;;;;I2C_RXFIFO_RADDR;;;;
0x0018;I2C_FIFO_CONF_REG;pclk;reset_n;;;;;;;;;;;FIFO configuration register.;;;;;;;;Configuration registers;
;;;;;;;;[31:27];5'h0;RO;;;;Reserved;;;;;;;;;
;;;;;;;;[26];1'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;;[25:20];6'h0;RO;;;;Reserved;;;;;;;;;
;;;;;;;;[19:15];5'h0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_fifo_prt_en;[14];1'b1;R/W;;;;The control enable bit of FIFO pointer in non-fifo access mode. This bit controls the valid bits and the interrupts of tx/rx_fifo overflow, underflow, full and empty.;;;;;I2C_FIFO_PRT_EN;;;;
;;;;;;;reg_tx_fifo_rst;[13];1'b0;R/W;;;;Set this bit to reset TX FIFO.;;;;;I2C_TX_FIFO_RST;;;;
;;;;;;;reg_rx_fifo_rst;[12];1'b0;R/W;;;;Set this bit to reset RX FIFO.;;;;;I2C_RX_FIFO_RST;;;;
;;;;;;;reg_fifo_addr_cfg_en;[11];1'b0;R/W;;;;When this bit is set to 1, the byte received after the I2C address byte represents the offset address in the I2C Slave RAM. ;;;;;I2C_FIFO_ADDR_CFG_EN;;;;
;;;;;;;reg_nonfifo_en;[10];1'b0;R/W;;;;Set this bit to enable APB non-FIFO access. ;;;;;I2C_NONFIFO_EN;;;;
;;;;;;;reg_txfifo_wm_thrhd;[9:5];5'h4;R/W;;;;The watermark threshold of TX FIFO in non-FIFO access mode. When reg_reg_fifo_prt_en is 1 and  TX FIFO counter is smaller than reg_txfifo_wm_thrhd[4:0], reg_txfifo_wm_int_raw bit will be valid. ;;;;;I2C_TXFIFO_WM_THRHD;;;;
;;;;;;;reg_rxfifo_wm_thrhd;[4:0];5'hb;R/W;;;;The watermark threshold of RX FIFO in non-FIFO access mode. When reg_reg_fifo_prt_en is 1 and rx FIFO counter is bigger than reg_rxfifo_wm_thrhd[4:0], reg_rxfifo_wm_int_raw bit will be valid. ;;;;;I2C_RXFIFO_WM_THRHD;;;;
0x001c;I2C_DATA_REG;pclk;reset_n;;;;;;;;;;;Rx FIFO read data.;;;;;;;;Status registers;
;;;;;;;;[31:8];24'h0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_fifo_rdata;[7:0];8'b0;RO;;;;The value of rx FIFO read data.;;;;;I2C_FIFO_RDATA;;;;
0x0020;I2C_INT_RAW_REG;pclk;reset_n;;;;;;;;;;INT_RAW;Raw interrupt status;;;;;;;;Interrupt registers;
;;;;;;;;[31:17];15'b0;RO;;;;Reserved;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_raw;[16];1'b0;R/WTC/SS;reg_slave_stretch/1'b1;1'b0;;The raw interrupt bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_SLAVE_STRETCH_INT_RAW;;;;
;;;;Not;;;reg_det_start_int_raw;[15];1'b0;R/WTC/SS;reg_det_start_pls/1'b1;1'b0;;The raw interrupt bit for I2C_DET_START_INT interrupt.;;;;;I2C_DET_START_INT_RAW;;;;
;;;;Not;;;reg_scl_main_st_to_int_raw;[14];1'b0;R/WTC/SS;reg_scl_main_st_to/1'b1;1'b0;;The raw interrupt bit for I2C_SCL_MAIN_ST_TO_INT interrupt.;;;;;I2C_SCL_MAIN_ST_TO_INT_RAW;;;;
;;;;Not;;;reg_scl_st_to_int_raw;[13];1'b0;R/WTC/SS;reg_scl_st_to/1'b1;1'b0;;The raw interrupt bit for I2C_SCL_ST_TO_INT interrupt.;;;;;I2C_SCL_ST_TO_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_udf_int_raw;[12];1'b0;R/WTC/SS;reg_rxfifo_udf/1'b1;1'b0;;The raw interrupt bit for I2C_RXFIFO_UDF_INT  interrupt.;;;;;I2C_RXFIFO_UDF_INT_RAW;;;;
;;;;Not;;;reg_txfifo_ovf_int_raw;[11];1'b0;R/WTC/SS;reg_txfifo_ovf/1'b1;1'b0;;The raw interrupt bit for I2C_TXFIFO_OVF_INT interrupt.;;;;;I2C_TXFIFO_OVF_INT_RAW;;;;
;;;;Not;;;reg_nack_int_raw;[10];1'b0;R/WTC/SS;reg_nack_in_bus/1'b1;1'b0;;The raw interrupt bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_NACK_INT_RAW;;;;
;;;;Not;;;reg_trans_start_int_raw;[9];1'b0;R/WTC/SS;reg_trans_start_pos/1'b1;1'b0;;The raw interrupt bit for the I2C_TRANS_START_INT interrupt.;;;;;I2C_TRANS_START_INT_RAW;;;;
;;;;Not;;;reg_time_out_int_raw;[8];1'b0;R/WTC/SS;reg_time_out/1'b1;1'b0;;The raw interrupt bit for the I2C_TIME_OUT_INT interrupt. ;;;;;I2C_TIME_OUT_INT_RAW;;;;
;;;;Not;;;reg_trans_complete_int_raw;[7];1'b0;R/WTC/SS;reg_trans_complete/1'b1;1'b0;;The raw interrupt bit for the I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_TRANS_COMPLETE_INT_RAW;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_raw;[6];1'b0;R/WTC/SS;reg_mst_txfifo_udf/1'b1;1'b0;;The raw interrupt bit for I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_MST_TXFIFO_UDF_INT_RAW;;;;
;;;;Not;;;reg_arbitration_lost_int_raw;[5];1'b0;R/WTC/SS;reg_arbitration_lost_pos/1'b1;1'b0;;The raw interrupt bit for the I2C_ARBITRATION_LOST_INT interrupt. ;;;;;I2C_ARBITRATION_LOST_INT_RAW;;;;
;;;;Not;;;reg_byte_trans_done_int_raw;[4];1'b0;R/WTC/SS;reg_byte_trans_done/1'b1;1'b0;;The raw interrupt bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_BYTE_TRANS_DONE_INT_RAW;;;;
;;;;Not;;;reg_end_detect_int_raw;[3];1'b0;R/WTC/SS;reg_end_detect/1'b1;1'b0;;The raw interrupt bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_END_DETECT_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_ovf_int_raw;[2];1'b0;R/WTC/SS;reg_rxfifo_ovf/1'b1;1'b0;;The raw interrupt bit for I2C_RXFIFO_OVF_INT interrupt.;;;;;I2C_RXFIFO_OVF_INT_RAW;;;;
;;;;Not;;;reg_txfifo_wm_int_raw;[1];1'b1;R/WTC/SS;reg_txfifo_wm_int/1'b1;1'b0;;The raw interrupt bit for I2C_TXFIFO_WM_INT interrupt.;;;;;I2C_TXFIFO_WM_INT_RAW;;;;
;;;;Not;;;reg_rxfifo_wm_int_raw;[0];1'b0;R/WTC/SS;reg_rxfifo_wm_int/1'b1;1'b0;;The raw interrupt bit for I2C_RXFIFO_WM_INT interrupt.;;;;;I2C_RXFIFO_WM_INT_RAW;;;;
0x0024;I2C_INT_CLR_REG;pclk;reset_n;;;;;;;;;;;Interrupt clear bits;;;;;;;;Interrupt registers;
;;;;;;;;[31:17];15'b0;RO;;;;Reserved;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_clr;[16];1'b0;WT;;;;Set this bit to clear I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_SLAVE_STRETCH_INT_CLR;;;;
;;;;Not;;;reg_det_start_int_clr;[15];1'b0;WT;;;;Set this bit to clear I2C_DET_START_INT interrupt.;;;;;I2C_DET_START_INT_CLR;;;;
;;;;Not;;;reg_scl_main_st_to_int_clr;[14];1'b0;WT;;;;Set this bit to clear I2C_SCL_MAIN_ST_TO_INT interrupt.;;;;;I2C_SCL_MAIN_ST_TO_INT_CLR;;;;
;;;;Not;;;reg_scl_st_to_int_clr;[13];1'b0;WT;;;;Set this bit to clear I2C_SCL_ST_TO_INT interrupt.;;;;;I2C_SCL_ST_TO_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_udf_int_clr;[12];1'b0;WT;;;;Set this bit to clear I2C_RXFIFO_UDF_INT  interrupt.;;;;;I2C_RXFIFO_UDF_INT_CLR;;;;
;;;;Not;;;reg_txfifo_ovf_int_clr;[11];1'b0;WT;;;;Set this bit to clear I2C_TXFIFO_OVF_INT interrupt.;;;;;I2C_TXFIFO_OVF_INT_CLR;;;;
;;;;Not;;;reg_nack_int_clr;[10];1'b0;WT;;;;Set this bit to clear I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_NACK_INT_CLR;;;;
;;;;Not;;;reg_trans_start_int_clr;[9];1'b0;WT;;;;Set this bit to clear the I2C_TRANS_START_INT interrupt.;;;;;I2C_TRANS_START_INT_CLR;;;;
;;;;Not;;;reg_time_out_int_clr;[8];1'b0;WT;;;;Set this bit to clear the I2C_TIME_OUT_INT interrupt. ;;;;;I2C_TIME_OUT_INT_CLR;;;;
;;;;Not;;;reg_trans_complete_int_clr;[7];1'b0;WT;;;;Set this bit to clear the I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_TRANS_COMPLETE_INT_CLR;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_clr;[6];1'b0;WT;;;;Set this bit to clear I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_MST_TXFIFO_UDF_INT_CLR;;;;
;;;;Not;;;reg_arbitration_lost_int_clr;[5];1'b0;WT;;;;Set this bit to clear the I2C_ARBITRATION_LOST_INT interrupt. ;;;;;I2C_ARBITRATION_LOST_INT_CLR;;;;
;;;;Not;;;reg_byte_trans_done_int_clr;[4];1'b0;WT;;;;Set this bit to clear the I2C_END_DETECT_INT interrupt. ;;;;;I2C_BYTE_TRANS_DONE_INT_CLR;;;;
;;;;Not;;;reg_end_detect_int_clr;[3];1'b0;WT;;;;Set this bit to clear the I2C_END_DETECT_INT interrupt. ;;;;;I2C_END_DETECT_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_ovf_int_clr;[2];1'b0;WT;;;;Set this bit to clear I2C_RXFIFO_OVF_INT interrupt.;;;;;I2C_RXFIFO_OVF_INT_CLR;;;;
;;;;Not;;;reg_txfifo_wm_int_clr;[1];1'b0;WT;;;;Set this bit to clear I2C_TXFIFO_WM_INT interrupt.;;;;;I2C_TXFIFO_WM_INT_CLR;;;;
;;;;Not;;;reg_rxfifo_wm_int_clr;[0];1'b0;WT;;;;Set this bit to clear I2C_RXFIFO_WM_INT interrupt.;;;;;I2C_RXFIFO_WM_INT_CLR;;;;
0x0028;I2C_INT_ENA_REG;pclk;reset_n;;;;;;;;;;;Interrupt enable bits;;;;;;;;Interrupt registers;
;;;;;;;;[31:17];15'b0;RO;;;;Reserved;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_ena;[16];1'b0;R/W;;;;The raw interrupt bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_SLAVE_STRETCH_INT_ENA;;;;
;;;;Not;;;reg_det_start_int_ena;[15];1'b0;R/W;;;;The raw interrupt bit for I2C_DET_START_INT interrupt.;;;;;I2C_DET_START_INT_ENA;;;;
;;;;Not;;;reg_scl_main_st_to_int_ena;[14];1'b0;R/W;;;;The raw interrupt bit for I2C_SCL_MAIN_ST_TO_INT interrupt.;;;;;I2C_SCL_MAIN_ST_TO_INT_ENA;;;;
;;;;Not;;;reg_scl_st_to_int_ena;[13];1'b0;R/W;;;;The raw interrupt bit for I2C_SCL_ST_TO_INT interrupt.;;;;;I2C_SCL_ST_TO_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_udf_int_ena;[12];1'b0;R/W;;;;The raw interrupt bit for I2C_RXFIFO_UDF_INT  interrupt.;;;;;I2C_RXFIFO_UDF_INT_ENA;;;;
;;;;Not;;;reg_txfifo_ovf_int_ena;[11];1'b0;R/W;;;;The raw interrupt bit for I2C_TXFIFO_OVF_INT interrupt.;;;;;I2C_TXFIFO_OVF_INT_ENA;;;;
;;;;Not;;;reg_nack_int_ena;[10];1'b0;R/W;;;;The raw interrupt bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_NACK_INT_ENA;;;;
;;;;Not;;;reg_trans_start_int_ena;[9];1'b0;R/W;;;;The raw interrupt bit for the I2C_TRANS_START_INT interrupt.;;;;;I2C_TRANS_START_INT_ENA;;;;
;;;;Not;;;reg_time_out_int_ena;[8];1'b0;R/W;;;;The raw interrupt bit for the I2C_TIME_OUT_INT interrupt. ;;;;;I2C_TIME_OUT_INT_ENA;;;;
;;;;Not;;;reg_trans_complete_int_ena;[7];1'b0;R/W;;;;The raw interrupt bit for the I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_TRANS_COMPLETE_INT_ENA;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_ena;[6];1'b0;R/W;;;;The raw interrupt bit for I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_MST_TXFIFO_UDF_INT_ENA;;;;
;;;;Not;;;reg_arbitration_lost_int_ena;[5];1'b0;R/W;;;;The raw interrupt bit for the I2C_ARBITRATION_LOST_INT interrupt. ;;;;;I2C_ARBITRATION_LOST_INT_ENA;;;;
;;;;Not;;;reg_byte_trans_done_int_ena;[4];1'b0;R/W;;;;The raw interrupt bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_BYTE_TRANS_DONE_INT_ENA;;;;
;;;;Not;;;reg_end_detect_int_ena;[3];1'b0;R/W;;;;The raw interrupt bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_END_DETECT_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_ovf_int_ena;[2];1'b0;R/W;;;;The raw interrupt bit for I2C_RXFIFO_OVF_INT interrupt.;;;;;I2C_RXFIFO_OVF_INT_ENA;;;;
;;;;Not;;;reg_txfifo_wm_int_ena;[1];1'b0;R/W;;;;The raw interrupt bit for I2C_TXFIFO_WM_INT interrupt.;;;;;I2C_TXFIFO_WM_INT_ENA;;;;
;;;;Not;;;reg_rxfifo_wm_int_ena;[0];1'b0;R/W;;;;The raw interrupt bit for I2C_RXFIFO_WM_INT interrupt.;;;;;I2C_RXFIFO_WM_INT_ENA;;;;
0x002c;I2C_INT_STATUS_REG;pclk;reset_n;;;;;;;;;;INT_ST;Status of captured I2C communication events;;;;;;;;Interrupt registers;
;;;;;;;;[31:17];15'b0;RO;;;;Reserved;;;;;;;;;
;;;;Not;;;reg_slave_stretch_int_st;[16];1'b0;RO;;;;The masked interrupt status bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_SLAVE_STRETCH_INT_ST;;;;
;;;;Not;;;reg_det_start_int_st;[15];1'b0;RO;;;;The masked interrupt status bit for I2C_DET_START_INT interrupt.;;;;;I2C_DET_START_INT_ST;;;;
;;;;Not;;;reg_scl_main_st_to_int_st;[14];1'b0;RO;;;;The masked interrupt status bit for I2C_SCL_MAIN_ST_TO_INT interrupt.;;;;;I2C_SCL_MAIN_ST_TO_INT_ST;;;;
;;;;Not;;;reg_scl_st_to_int_st;[13];1'b0;RO;;;;The masked interrupt status bit for I2C_SCL_ST_TO_INT interrupt.;;;;;I2C_SCL_ST_TO_INT_ST;;;;
;;;;Not;;;reg_rxfifo_udf_int_st;[12];1'b0;RO;;;;The masked interrupt status bit for I2C_RXFIFO_UDF_INT  interrupt.;;;;;I2C_RXFIFO_UDF_INT_ST;;;;
;;;;Not;;;reg_txfifo_ovf_int_st;[11];1'b0;RO;;;;The masked interrupt status bit for I2C_TXFIFO_OVF_INT interrupt.;;;;;I2C_TXFIFO_OVF_INT_ST;;;;
;;;;Not;;;reg_nack_int_st;[10];1'b0;RO;;;;The masked interrupt status bit for I2C_SLAVE_STRETCH_INT interrupt.;;;;;I2C_NACK_INT_ST;;;;
;;;;Not;;;reg_trans_start_int_st;[9];1'b0;RO;;;;The masked interrupt status bit for the I2C_TRANS_START_INT interrupt.;;;;;I2C_TRANS_START_INT_ST;;;;
;;;;Not;;;reg_time_out_int_st;[8];1'b0;RO;;;;The masked interrupt status bit for the I2C_TIME_OUT_INT interrupt. ;;;;;I2C_TIME_OUT_INT_ST;;;;
;;;;Not;;;reg_trans_complete_int_st;[7];1'b0;RO;;;;The masked interrupt status bit for the I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_TRANS_COMPLETE_INT_ST;;;;
;;;;Not;;;reg_mst_txfifo_udf_int_st;[6];1'b0;RO;;;;The masked interrupt status bit for I2C_TRANS_COMPLETE_INT interrupt.;;;;;I2C_MST_TXFIFO_UDF_INT_ST;;;;
;;;;Not;;;reg_arbitration_lost_int_st;[5];1'b0;RO;;;;The masked interrupt status bit for the I2C_ARBITRATION_LOST_INT interrupt. ;;;;;I2C_ARBITRATION_LOST_INT_ST;;;;
;;;;Not;;;reg_byte_trans_done_int_st;[4];1'b0;RO;;;;The masked interrupt status bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_BYTE_TRANS_DONE_INT_ST;;;;
;;;;Not;;;reg_end_detect_int_st;[3];1'b0;RO;;;;The masked interrupt status bit for the I2C_END_DETECT_INT interrupt. ;;;;;I2C_END_DETECT_INT_ST;;;;
;;;;Not;;;reg_rxfifo_ovf_int_st;[2];1'b0;RO;;;;The masked interrupt status bit for I2C_RXFIFO_OVF_INT interrupt.;;;;;I2C_RXFIFO_OVF_INT_ST;;;;
;;;;Not;;;reg_txfifo_wm_int_st;[1];1'b0;RO;;;;The masked interrupt status bit for I2C_TXFIFO_WM_INT interrupt.;;;;;I2C_TXFIFO_WM_INT_ST;;;;
;;;;Not;;;reg_rxfifo_wm_int_st;[0];1'b0;RO;;;;The masked interrupt status bit for I2C_RXFIFO_WM_INT interrupt.;;;;;I2C_RXFIFO_WM_INT_ST;;;;
0x0030;I2C_SDA_HOLD_REG;pclk;reset_n;;;;;;;;;;;Configures the hold time after a negative SCL edge.;;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_sda_hold_time;[8:0];9'b0;R/W;;;;"This register is used to configure the time to hold the data after the negative
edge of SCL, in I2C module clock cycles. ";;;;;I2C_SDA_HOLD_TIME;;;;
0x0034;I2C_SDA_SAMPLE_REG;pclk;reset_n;;;;;;;;;;;Configures the sample time after a positive SCL edge.;;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_sda_sample_time;[8:0];9'b0;R/W;;;;This register is used to configure for how long SDA is sampled, in I2C module clock cycles. ;;;;;I2C_SDA_SAMPLE_TIME;;;;
0x0038;I2C_SCL_HIGH_PERIOD_REG;pclk;reset_n;;;;;;;;;;;Configures the high level width of SCL;;;;;;;;Timing registers;
;;;;;;;;[31:16];16'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_wait_high_period;[15:9];7'b0;R/W;;;;This register is used to configure for the SCL_FSM's waiting period for SCL high level in master mode, in I2C module clock cycles. ;;;;;I2C_SCL_WAIT_HIGH_PERIOD;;;;
;;;;;;;reg_scl_high_period;[8:0];9'b0;R/W;;;;This register is used to configure for how long SCL remains high in master mode, in I2C module clock cycles. ;;;;;I2C_SCL_HIGH_PERIOD;;;;
0x0040;I2C_SCL_START_HOLD_REG;pclk;reset_n;;;;;;;;;;;Configures the delay between the SDA and SCL negative edge for a start condition;;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
;;;;;;;reg_scl_start_hold_time;[8:0];9'b1000;R/W;;;;"This register is used to configure the time between the negative edge
of SDA and the negative edge of SCL for a START condition, in I2C module clock cycles. ";;;;;I2C_SCL_START_HOLD_TIME;;;;
0x0044;I2C_SCL_RSTART_SETUP_REG;pclk;reset_n;;;;;;;;;;;"Configures the delay between the positive
edge of SCL and the negative edge of SDA";;;;;;;;Timing registers;
;;;;;;;;[31:9];23'b0;RO;;;;Reserved;;;;;;;;;
